Name,Breed,Sex,Age,Price,Location
Shawn,Shiba Inu,Male,Age:  9 Weeks,$1395 USD ,"Up, CA"
Shilo,Shiba Inu,Male,Age:  9 Weeks,$1295 USD ,"Up, CA"
Ricco,Shiba Inu,Male,Age:  14 Weeks,$1200 USD ,"Ontario, CA"
Bucky,Shiba Inu,Male,Age:  9 Weeks,$1500 USD ,"Hawthorne, CA"
Boy 1 Sold,Shiba Inu,Male,Age:  14 Weeks,$1000 USD ,"Bay Area, CA"
Boy 2 Hold,Shiba Inu,Male,Age:  14 Weeks,$1000 USD ,"Bay Area, CA"
Sugar Bear,Shiba Inu,Male,Age:  4 Weeks,$2300 USD ,"San Jose, CA"
Kenji,Shiba Inu,Male,Age:  12 Weeks,$1200 USD ,"San Diego, CA"
Samuel,Shiba Inu,Male,Age:  9 Weeks,$1295 USD ,"Up, CA"
Haku,Shiba Inu,Male,Age:  12 Weeks,$2500 USD ,"We Come To Ca, CA"
Charlie,Shiba Inu,Male,Age:  9 Weeks,$1500 USD ,"Hawthorne, CA"
Red Male,Shiba Inu,Male,Age:  9 Days,$1300 USD ,"Norco, CA"
Female,Shiba Inu,Male,Age:  10 Weeks,$1500 USD ,"Hawthorne, CA"
Girl 1 Sold,Shiba Inu,Male,Age:  10 Weeks,$1500 USD ,"Hawthorne, CA"
Cinamon Bear,Shiba Inu,Male,Age:  5 Weeks,$2300 USD ,"San Jose, CA"
Kovu,Shiba Inu,Male,Age:  9 Weeks,$1899 USD ,"El Cajon, CA"
Socks,Shiba Inu,Male,Age:  16 Weeks,$1200 USD ,"Ontario, CA"
Osa,Shiba Inu,Male,Age:  16 Weeks,$1200 USD ,"Ontario, CA"
Shiba Inu,Shiba Inu,Male,Age:  9 Weeks,$1100 USD ,"San Diego, CA"
Hato,Shiba Inu,Male,Age:  7 Months,$1500 USD ,"We Come To Ca, CA"
Polo,Shiba Inu,Male,Age:  10 Months,$1500 USD ,"Hayward, CA"
Cosmo,Shiba Inu,Male,Age:  4 Months,$1650 USD ,"San Luis Obispo, CA"
